,Place,lat,long
0,"Kakkanad, Ernakulam",10.01657,76.34275
1,"Whitefield, Bangalore",12.9696365,77.7497448
2,"Mathikere - BEL, Bangalore",0.0,0.0
3,"Bannerghatta Road, Bangalore",12.9205798,77.6001864
4,"Keelkattalai, Chennai",0.0,0.0
5,"Porur, Chennai",13.0320131,80.158304
6,"Karol Bagh, Delhi",28.6529982,77.1890227
7,"Arekere, Bangalore",12.87847015,77.6041791138253
8,"Old City, Hyderabad",17.3616079,78.4746286
9,"Athani, Ernakulam",10.1523857,76.3552674
10,"Thousand Lights, Chennai",13.0587829,80.2557114
11,"Somajiguda, Hyderabad",17.4255053,78.4585197
12,"Coimbatore Racecourse, Coimbatore",0.0,0.0
13,"Jubilee Hills, Hyderabad",17.4308362,78.4102882
14,"Kondli, Delhi",28.6070816,77.3243319363118
15,"Saroor Nagar, Hyderabad",17.3564017,78.5318948
16,"Tambaram West, Chennai",12.9299028,80.1118231
17,"Purasawakkam, Chennai",0.0,0.0
18,"KPHB, Hyderabad",17.4940793,78.4008221
19,"HSR Layout, Bangalore",12.9116225,77.6388622
20,"Pollachi, Coimbatore",10.6588234,77.00873
21,"Vasundhra Enclave, Delhi",0.0,0.0
22,"Chembur, Mumbai",19.0612128,72.8975909
23,"Thammanam, Ernakulam",9.9832859,76.2933452
24,"Andheri, Mumbai",19.1203713,72.8480431
25,"Pattom, Thiruvananthapuram",8.5186757,76.9421447
26,"Kukatpally, Hyderabad",17.4930841,78.4054408
27,"Vadavalli, Coimbatore",11.0253387,76.9051251
28,"Defence Colony, Delhi",28.5717909,77.2320102
29,"Banjara Hills, Hyderabad",17.4177464,78.4399014
30,"Sion West, Mumbai",19.0476819,72.8595651
31,"CR Park, Delhi",28.6517178,77.2219388
32,"Mogappair East, Chennai",13.0835142,80.1840779
33,"IP Extension, Delhi",28.6288991,77.3101995819454
34,"Safdarjung Enclave, Delhi",28.5656419,77.1934382
35,"New Friends Colony, Delhi",28.5671008,77.2697643
36,"Borivali West, Mumbai",19.2294561,72.8479905
37,"Saket, Delhi",28.5244107,77.2137253
38,"Malad, Mumbai",19.1846771,72.8358068
39,"Hyder Nagar, Hyderabad",0.0,0.0
40,"Dahisar West, Mumbai",19.2483914,72.8525146
